kvsca-2|6.058|WRITE|2|1498458577.185907|1498458577.275896|0|0
kvsca-2|6.062|WRITE|2|1498458577.280091|1498458577.281287|7|0
kvsca-2|6.141|READ|2|1498458577.359441|1498458577.359986|1|470
kvsca-2|6.241|READ|2|1498458577.459111|1498458577.460084|4|415
kvsca-2|6.340|WRITE|2|1498458577.559290|1498458577.559603|3|0
kvsca-2|6.440|WRITE|2|1498458577.658843|1498458577.659111|4|0
kvsca-2|6.543|READ|2|1498458577.757776|1498458577.762231|1|470
kvsca-2|6.640|READ|2|1498458577.859363|1498458577.859588|8|421
kvsca-2|6.741|WRITE|2|1498458577.959327|1498458577.959676|2|0
kvsca-2|6.841|WRITE|2|1498458578.060002|1498458578.060218|2|1
kvsca-2|6.940|WRITE|2|1498458578.159433|1498458578.159729|5|0
kvsca-2|7.038|WRITE|2|1498458578.257206|1498458578.257550|7|1
kvsca-2|7.138|READ|2|1498458578.357379|1498458578.358151|5|0
kvsca-2|7.242|WRITE|2|1498458578.460732|1498458578.461492|5|1
kvsca-2|7.341|WRITE|2|1498458578.559072|1498458578.559422|5|2
kvsca-2|7.440|WRITE|2|1498458578.658835|1498458578.659376|1|0
kvsca-2|7.539|READ|2|1498458578.759079|1498458578.759322|2|1
kvsca-2|7.640|WRITE|2|1498458578.859745|1498458578.859984|7|2
kvsca-2|7.739|WRITE|2|1498458578.958980|1498458578.959212|7|3
kvsca-2|7.842|READ|2|1498458579.060064|1498458579.060587|7|3
kvsca-2|7.939|READ|2|1498458579.159164|1498458579.159387|7|3
kvsca-2|8.039|WRITE|2|1498458579.258982|1498458579.259306|8|0
kvsca-2|8.139|READ|2|1498458579.359605|1498458579.359822|1|0
kvsca-2|8.240|READ|2|1498458579.459442|1498458579.459869|8|0
kvsca-2|8.341|WRITE|2|1498458579.559604|1498458579.560920|7|4
kvsca-2|8.440|READ|2|1498458579.659062|1498458579.659588|0|0
kvsca-2|8.541|WRITE|2|1498458579.759294|1498458579.760084|5|3
kvsca-2|8.638|WRITE|2|1498458579.856332|1498458579.856856|3|1
kvsca-2|8.741|READ|2|1498458579.958578|1498458579.959936|5|3
kvsca-2|8.840|READ|2|1498458580.059521|1498458580.059889|3|1
kvsca-2|8.939|READ|2|1498458580.159454|1498458580.159636|3|1
kvsca-2|9.041|WRITE|2|1498458580.260491|1498458580.260751|4|1
kvsca-2|9.141|WRITE|2|1498458580.359479|1498458580.360246|7|5
kvsca-2|9.239|READ|2|1498458580.459208|1498458580.459533|1|0
kvsca-2|9.339|READ|2|1498458580.558890|1498458580.559192|9|445
kvsca-2|9.440|READ|2|1498458580.659425|1498458580.659600|7|5
kvsca-2|9.541|WRITE|2|1498458580.759618|1498458580.760225|8|1
kvsca-2|9.644|WRITE|2|1498458580.859809|1498458580.860757|5|4
kvsca-2|9.738|READ|2|1498458580.958444|1498458580.958736|7|5
kvsca-2|9.840|READ|2|1498458581.059810|1498458581.060355|1|0
kvsca-2|9.935|READ|2|1498458581.155291|1498458581.155450|1|0
kvsca-2|10.039|WRITE|2|1498458581.259475|1498458581.259747|5|5
kvsca-2|10.141|WRITE|2|1498458581.359471|1498458581.361361|4|2
kvsca-2|10.238|READ|2|1498458581.457938|1498458581.458151|0|0
kvsca-2|10.339|READ|2|1498458581.559271|1498458581.559577|9|445
kvsca-2|10.440|WRITE|2|1498458581.659296|1498458581.660199|0|1
kvsca-2|10.539|WRITE|2|1498458581.758492|1498458581.758833|4|3
kvsca-2|10.635|READ|2|1498458581.855907|1498458581.856172|1|0
kvsca-2|10.739|READ|2|1498458581.959353|1498458581.959679|7|5
kvsca-2|10.839|READ|2|1498458582.059294|1498458582.059692|1|0
kvsca-2|10.940|READ|2|1498458582.159771|1498458582.160286|6|454
kvsca-2|11.035|WRITE|2|1498458582.255208|1498458582.255518|7|6
kvsca-2|11.141|WRITE|2|1498458582.359564|1498458582.359838|6|0
kvsca-2|11.240|READ|2|1498458582.459929|1498458582.460253|5|5
kvsca-2|11.339|WRITE|2|1498458582.558994|1498458582.559235|8|2
kvsca-2|11.443|READ|2|1498458582.659100|1498458582.659865|5|5
kvsca-2|11.540|WRITE|2|1498458582.759530|1498458582.759854|1|1
kvsca-2|11.638|WRITE|2|1498458582.858306|1498458582.858579|2|2
kvsca-2|11.739|WRITE|2|1498458582.959060|1498458582.959307|7|7
kvsca-2|11.841|WRITE|2|1498458583.059332|1498458583.060510|1|2
kvsca-2|11.939|READ|2|1498458583.159241|1498458583.159491|7|7
kvsca-2|12.038|WRITE|2|1498458583.258454|1498458583.258676|1|3
kvsca-2|12.139|WRITE|2|1498458583.359807|1498458583.360053|9|0
kvsca-2|12.238|READ|2|1498458583.458127|1498458583.458476|3|1
kvsca-2|12.338|READ|2|1498458583.558430|1498458583.558585|3|1
kvsca-2|12.437|WRITE|2|1498458583.657130|1498458583.657377|2|3
kvsca-2|12.541|READ|2|1498458583.758997|1498458583.759347|4|3
kvsca-2|12.638|READ|2|1498458583.858245|1498458583.858474|2|3
kvsca-2|12.737|READ|2|1498458583.957897|1498458583.958131|8|2
kvsca-2|12.841|READ|2|1498458584.059461|1498458584.060943|6|0
kvsca-2|12.938|WRITE|2|1498458584.158411|1498458584.158790|4|4
kvsca-2|13.040|WRITE|2|1498458584.260167|1498458584.260589|8|3
kvsca-2|13.140|WRITE|2|1498458584.358913|1498458584.359317|9|1
kvsca-2|13.239|WRITE|2|1498458584.459583|1498458584.459783|0|2
kvsca-2|13.339|WRITE|2|1498458584.559450|1498458584.559958|7|8
